search URL:,https://patents.google.com/?q=mouse&q=trap&oq=mouse+trap
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6865843-B1,Portable electrical mouse trap ,"Charles Jordan, Sr.","Charles Jordan, Sr.",2003-10-23,2003-10-23,2005-03-15,2005-03-15,https://patents.google.com/patent/US6865843B1/en,https://patentimages.storage.googleapis.com/3f/73/bf/94b55dc60985a6/US06865843-20050315-D00000.png
US-4127958-A,Mouse trap ,"John Peters, Thompson Edward E","John Peters, Edward E. Thompson",1977-07-08,1977-07-08,1978-12-05,1978-12-05,https://patents.google.com/patent/US4127958A/en,https://patentimages.storage.googleapis.com/3f/5c/72/b34bb1c1d91840/US4127958-drawings-page-2.png
US-5471781-A,Mouse trap ,Vine; Henry E.,Henry E. Vine,1994-09-28,1994-09-28,1995-12-05,1995-12-05,https://patents.google.com/patent/US5471781A/en,https://patentimages.storage.googleapis.com/f9/47/6c/ea58dc52d4da3a/US5471781-drawings-page-2.png
US-8418398-B2,Electrocuting mouse trap with automatic chamber-clearing mechanism ,Woodstream Corporation,"Alan Weir Bucher, Richard L. Eyer, Marko Konstantin Lubic, Troy A. Wetzel, Robert T. Cruz",2008-06-18,2012-03-30,2013-04-16,2013-04-16,https://patents.google.com/patent/US8418398B2/en,https://patentimages.storage.googleapis.com/47/d6/63/44732a9f075421/US08418398-20130416-D00000.png
CN-103858855-A,Electric continuous mouse trap ,陈洪灿,陈洪灿,2012-12-17,2012-12-17,2014-06-18,,https://patents.google.com/patent/CN103858855A/en,
US-3769742-A,Mouse trap ,"T Spain, A Geimer, V Loesche","T Spain, A Geimer, V Loesche",1972-06-02,1972-06-02,1973-11-06,1973-11-06,https://patents.google.com/patent/US3769742A/en,https://patentimages.storage.googleapis.com/ab/6c/f7/3146a72b4f9e10/US3769742-drawings-page-2.png
US-4569149-A,Disposable mouse trap ,"Sureway Products, Inc.","Wylie W. Sensing, Ray V. Watkins",1984-04-09,1984-04-09,1986-02-11,1986-02-11,https://patents.google.com/patent/US4569149A/en,https://patentimages.storage.googleapis.com/96/30/09/bbb19931951323/US4569149-drawings-page-2.png
US-3992803-A,Mouse trap ,Robert Dennis Kaiser,Robert Dennis Kaiser,1975-03-20,1975-03-20,1976-11-23,1976-11-23,https://patents.google.com/patent/US3992803A/en,https://patentimages.storage.googleapis.com/69/8f/0f/69b3602d20d190/US3992803-drawings-page-2.png
US-3786591-A,Mouse trap ,M Morford,M Morford,1971-06-03,1971-06-03,1974-01-22,1974-01-22,https://patents.google.com/patent/US3786591A/en,https://patentimages.storage.googleapis.com/91/b0/ae/fa93540a5f1caa/US3786591-drawings-page-2.png
US-1074916-A,Mouse-trap. ,John G Wiesen,John G Wiesen,1912-03-11,1912-03-11,1913-10-07,1913-10-07,https://patents.google.com/patent/US1074916A/en,https://patentimages.storage.googleapis.com/8e/61/62/fc6692197cf616/US1074916-drawings-page-1.png
